region,plant_id_eia
p43,1912
p43,1913
p68,1914
p43,1915
p43,1922
p43,1925
p43,1926
p43,1927
p68,1929
p68,1934
p43,1943
p44,1956
p43,1958
p68,1960
p68,1961
p43,1964
p43,1966
p68,1967
p43,1969
p42,1970
p43,1971
p44,1972
p68,1973
p43,1975
p43,1976
p44,1977
p42,1978
p43,1979
p43,1980
p68,1982
p43,1983
p68,1985
p68,1987
p43,1989
p44,1990
p44,1993
p43,1994
p42,1995
p43,1996
p43,1997
p68,1998
p43,1999
p68,2001
p43,2002
p43,2003
p68,2004
p43,2005
p43,2007
p43,2008
p44,2009
p68,2011
p68,2012
p68,2013
p42,2014
p68,2015
p43,2016
p43,2018
p68,2020
p68,2021
p43,2022
p68,2023
p44,2024
p43,2038
p43,2039
p43,2042
p87,2046
p87,2047
p87,2048
p87,2049
p87,2050
p87,2051
p87,2052
p87,2053
p87,2059
p87,2062
p87,2063
p87,2067
p87,2068
p87,2070
p87,2071
p55,2076
p54,2079
p55,2080
p54,2081
p72,2082
p71,2083
p55,2090
p54,2092
p54,2094
p72,2096
p54,2098
p84,2099
p72,2102
p72,2103
p72,2104
p72,2106
p72,2107
p73,2108
p54,2113
p54,2114
p55,2115
p54,2120
p55,2121
p54,2122
p72,2123
p55,2124
p72,2125
p72,2126
p54,2127
p54,2131
p54,2132
p54,2134
p54,2135
p54,2136
p72,2137
p71,2138
p84,2139
p71,2140
p71,2141
p84,2142
p54,2144
p71,2145
p71,2146
p54,2148
p72,2149
p71,2150
p72,2158
p55,2161
p55,2162
p54,2163
p54,2164
p72,2165
p55,2166
p84,2167
p72,2168
p72,2169
p54,2171
p35,2176
p35,2177
p18,2181
p18,2182
p18,2185
p18,2186
p20,2187
p17,2188
p18,2191
p18,2192
p18,2193
p18,2194
p17,2195
p21,2196
p17,2199
p17,2203
p18,2204
p40,2214
p41,2215
p40,2216
p40,2217
p40,2221
p40,2222
p40,2223
p40,2225
p40,2226
p40,2227
p40,2228
p40,2229
p39,2230
p40,2231
p40,2232
p40,2233
p40,2234
p40,2235
p40,2236
p41,2237
p40,2238
p41,2240
p40,2241
p40,2243
p40,2244
p39,2248
p40,2249
p41,2250
p41,2253
p41,2255
p41,2256
p40,2260
p41,2265
p40,2266
p40,2268
p40,2271
p40,2273
p40,2274
p41,2277
p40,2278
p40,2280
p41,2289
p41,2290
p41,2291
p41,2292
p40,2294
p40,2295
p40,2296
p40,2297
p40,2299
p40,2300
p39,2302
p40,2303
p40,2305
p40,2306
p41,2308
p41,2310
p40,2311
p40,2312
p40,2313
p40,2315
p40,2316
p13,2322
p13,2324
p13,2326
p12,2330
p12,2336
p13,2341
p130,2349
p130,2351
p129,2352
p129,2353
p130,2354
p130,2355
p130,2356
p130,2357
p130,2358
p130,2359
p130,2360
p130,2362
p130,2364
p130,2367
p130,2368
p130,2369
p126,2378
p126,2379
p126,2380
p126,2382
p126,2383
p126,2384
p126,2385
p126,2388
p126,2390
p126,2393
p126,2398
p126,2399
p126,2400
p126,2401
p126,2403
p126,2404
p126,2406
p126,2408
p126,2409
p126,2410
p126,2411
p126,2434
p31,2442
p31,2444
p47,2446
p31,2447
p31,2450
p31,2451
p47,2453
p47,2454
p31,2465
p31,2468
p47,2469
p31,2475
p127,2480
p127,2481
p127,2483
p127,2485
p127,2486
p127,2487
p127,2490
p127,2491
p127,2493
p127,2494
p127,2496
p127,2497
p127,2499
p127,2500
p127,2503
p127,2504
p128,2511
p128,2512
p128,2514
p128,2516
p128,2517
p128,2518
p128,2519
p128,2520
p128,2521
p127,2522
p127,2526
p127,2527
p127,2528
p127,2530
p127,2532
p127,2535
p127,2539
p127,2540
p127,2543
p127,2544
p127,2545
p127,2546
p127,2547
p127,2548
p127,2549
p127,2550
p127,2551
p127,2552
p127,2554
p127,2555
p127,2556
p127,2557
p127,2559
p127,2560
p127,2561
p127,2562
p127,2563
p127,2564
p127,2566
p127,2568
p127,2569
p127,2571
p127,2572
p127,2573
p127,2574
p127,2575
p127,2576
p127,2578
p127,2579
p127,2580
p127,2581
p127,2582
p127,2583
p127,2586
p127,2588
p127,2589
p127,2590
p127,2591
p127,2594
p127,2595
p127,2596
p127,2597
p127,2598
p127,2599
p127,2600
p127,2601
p127,2604
p127,2605
p127,2606
p127,2607
p127,2608
p127,2609
p127,2610
p127,2611
p127,2612
p127,2613
p127,2614
p127,2616
p127,2617
p127,2619
p127,2621
p127,2623
p127,2624
p127,2625
p127,2627
p127,2628
p127,2630
p127,2631
p127,2632
p127,2634
p127,2638
p127,2639
p127,2640
p127,2641
p127,2644
p127,2646
p128,2678
p128,2679
p128,2681
p127,2682
p127,2685
p127,2686
p127,2691
p127,2692
p127,2693
p127,2694
p128,2695
p127,2700
p97,2706
p98,2707
p98,2708
p98,2709
p97,2710
p98,2711
p98,2712
p98,2713
p98,2714
p97,2715
p98,2716
p97,2718
p97,2719
p97,2720
p97,2721
p97,2722
p97,2723
p97,2726
p97,2727
p97,2728
p97,2729
p97,2730
p97,2732
p97,2735
p97,2736
p97,2741
p97,2743
p97,2745
p97,2746
p97,2747
p97,2749
p97,2750
p97,2751
p98,2756
p98,2757
p98,2758
p97,2773
p97,2778
p97,2779
p97,2780
p98,2783
p36,2790
p36,2791
p37,2801
p37,2811
p36,2815
p36,2817
p37,2821
p37,2822
p36,2823
p36,2824
p112,2828
p114,2830
p114,2831
p114,2832
p111,2835
p111,2836
p111,2837
p111,2838
p112,2840
p112,2843
p113,2847
p113,2848
p112,2850
p113,2851
p112,2852
p113,2854
p111,2857
p113,2860
p111,2861
p112,2864
p112,2866
p111,2869
p112,2872
p112,2876
p111,2878
p112,2880
p112,2881
p112,2902
p112,2903
p111,2906
p111,2909
p112,2914
p114,2917
p114,2921
p111,2933
p112,2935
p111,2936
p113,2937
p112,2942
p112,2943
p112,2945
p50,2950
p50,2951
p51,2952
p50,2953
p50,2956
p50,2958
p51,2963
p50,2964
p51,2965
p50,2966
p50,2975
p50,2978
p51,2980
p51,2981
p51,2982
p51,2984
p50,2985
p50,2986
p51,2987
p50,2991
p51,2995
p50,2997
p50,3000
p51,3003
p50,3004
p50,3006
p50,3008
p5,3013
p7,3014
p6,3020
p6,3021
p6,3024
p6,3025
p6,3026
p6,3028
p6,3029
p6,3032
p6,3033
p6,3034
p6,3035
p6,3036
p6,3037
p6,3040
p5,3041
p5,3045
p5,3047
p5,3048
p5,3049
p5,3050
p5,3053
p5,3067
p5,3068
p5,3071
p5,3074
p5,3075
p5,3076
p5,3077
p5,3078
p5,3080
p5,3081
p5,3082
p5,3083
p5,3084
p115,3096
p115,3098
p122,3109
p122,3110
p122,3111
p122,3112
p122,3113
p122,3114
p122,3115
p122,3116
p122,3117
p122,3118
p122,3120
p122,3122
p122,3124
p122,3130
p122,3131
p122,3132
p115,3136
p122,3138
p122,3139
p122,3140
p122,3142
p122,3143
p122,3144
p122,3145
p122,3146
p119,3147
p122,3148
p122,3149
p122,3152
p122,3153
p122,3154
p122,3155
p122,3157
p122,3159
p122,3160
p122,3161
p122,3162
p122,3163
p122,3164
p122,3166
p122,3168
p122,3169
p122,3170
p122,3175
p122,3176
p115,3178
p133,3236
p96,3250
p96,3251
p95,3253
p96,3254
p95,3255
p95,3256
p95,3257
p95,3258
p95,3259
p95,3261
p95,3262
p95,3264
p95,3265
p96,3266
p95,3267
p96,3270
p95,3271
p95,3272
p95,3275
p96,3280
p96,3281
p96,3283
p96,3285
p96,3286
p96,3287
p95,3289
p96,3290
p96,3291
p96,3293
p96,3295
p96,3297
p96,3298
p95,3305
p96,3317
p96,3318
p96,3319
p96,3320
p96,3321
p96,3323
p32,3325
p38,3338
p38,3341
p38,3342
p38,3343
p38,3344
p38,3346
p38,3347
p38,3352
p38,3356
p38,3373
p38,3375
p92,3393
p92,3394
p92,3395
p92,3396
p92,3397
p92,3398
p92,3399
p92,3400
p92,3401
p92,3402
p92,3403
p92,3404
p92,3405
p92,3406
p92,3407
p92,3408
p92,3409
p92,3411
p92,3412
p92,3413
p92,3414
p92,3415
p92,3416
p92,3417
p92,3418
p92,3419
p92,3420
p92,3421
p92,3423
p92,3424
p92,3426
p92,3428
p65,3437
p65,3439
p65,3440
p65,3441
p65,3443
p63,3452
p63,3453
p63,3454
p59,3456
p66,3457
p66,3459
p67,3460
p67,3464
p67,3466
p67,3468
p67,3469
p67,3470
p57,3476
p57,3477
p57,3478
p48,3482
p48,3483
p48,3484
p48,3485
p48,3487
p63,3489
p63,3490
p63,3491
p60,3492
p62,3494
p63,3497
p63,3500
p63,3502
p63,3504
p63,3507
p63,3508
p64,3548
p63,3557
p65,3559
p64,3561
p63,3574
p63,3576
p64,3581
p64,3582
p64,3583
p64,3584
p64,3585
p64,3586
p64,3594
p64,3595
p64,3597
p64,3598
p64,3599
p64,3600
p64,3601
p48,3602
p48,3604
p65,3609
p65,3611
p65,3612
p65,3613
p63,3624
p63,3627
p63,3628
p65,3630
p65,3631
p25,3643
p25,3644
p25,3646
p25,3648
p25,3651
p25,3655
p25,3656
p26,3658
p25,3659
p25,3661
p25,3665
p25,3666
p25,3675
p25,3676
p25,3686
p25,3688
p25,3691
p26,3697
p26,3698
p25,3699
p26,3704
p129,3708
p129,3709
p129,3710
p129,3711
p129,3712
p129,3714
p129,3716
p129,3717
p129,3720
p129,3722
p129,3723
p129,3724
p129,3725
p129,3728
p129,3731
p129,3734
p129,3735
p129,3737
p129,3739
p129,3740
p129,3743
p129,3745
p129,3746
p129,3750
p129,3751
p129,3753
p129,3754
p129,3762
p129,3764
p129,3765
p118,3772
p118,3773
p118,3774
p118,3775
p118,3776
p99,3777
p118,3778
p118,3779
p99,3780
p124,3782
p124,3785
p99,3788
p100,3789
p100,3790
p99,3796
p99,3797
p118,3798
p99,3799
p99,3800
p99,3803
p99,3804
p99,3806
p99,3809
p118,3821
p118,3825
p118,3826
p118,3827
p99,3833
p118,3834
p2,3845
p2,3846
p2,3847
p2,3850
p2,3852
p1,3853
p1,3854
p1,3855
p1,3860
p1,3861
p3,3866
p3,3867
p3,3868
p3,3869
p1,3878
p4,3883
p4,3886
p4,3887
p4,3888
p3,3891
p5,3895
p1,3913
p2,3914
p2,3915
p1,3916
p2,3917
p2,3918
p4,3921
p3,3925
p2,3926
p2,3927
p2,3929
p117,3935
p117,3936
p117,3938
p116,3942
p116,3943
p116,3944
p116,3945
p116,3946
p116,3947
p116,3948
p116,3954
p76,3971
p75,3972
p75,3973
p76,3974
p75,3975
p46,3976
p46,3982
p46,3983
p46,3984
p46,3986
p46,3988
p46,3989
p78,3991
p78,3992
p78,3993
p46,3995
p46,3998
p46,4000
p46,4002
p46,4005
p46,4007
p46,4008
p46,4009
p46,4011
p46,4012
p46,4014
p46,4015
p46,4018
p46,4019
p46,4020
p46,4021
p79,4040
p79,4041
p79,4042
p76,4043
p75,4044
p75,4045
p75,4046
p78,4048
p79,4050
p77,4053
p77,4054
p77,4056
p78,4057
p78,4059
p75,4060
p75,4061
p75,4062
p75,4063
p75,4064
p75,4065
p75,4067
p75,4068
p75,4071
p75,4072
p75,4074
p75,4075
p75,4076
p75,4077
p75,4078
p76,4079
p76,4080
p46,4100
p46,4102
p77,4107
p46,4112
p76,4113
p77,4114
p76,4118
p76,4119
p76,4120
p76,4121
p76,4122
p77,4124
p75,4125
p76,4127
p76,4130
p46,4133
p77,4139
p46,4140
p46,4142
p77,4143
p77,4146
p75,4147
p75,4148
p23,4150
p23,4151
p24,4158
p21,4162
p24,4176
p24,4177
p24,4178
p24,4180
p24,4182
p21,4183
p21,4185
p63,4195
p76,4201
p16,4204
p5,4213
p5,4214
p25,4251
p9,4256
p123,4257
p112,4258
p103,4259
p26,4263
p63,4266
p58,4270
p46,4271
p64,4937
p65,4939
p51,4940
p28,4941
p126,5083
p104,6000
p90,6001
p89,6002
p116,6004
p112,6006
p28,6008
p85,6009
p123,6011
p131,6012
p10,6013
p98,6014
p98,6015
p81,6016
p83,6017
p109,6018
p114,6019
p111,6020
p33,6021
p80,6022
p80,6023
p80,6026
p37,6030
p112,6031
p103,6034
p103,6035
p95,6036
p97,6038
p115,6040
p109,6041
p101,6042
p102,6043
p102,6045
p101,6046
p131,6047
p131,6049
p94,6051
p94,6052
p58,6055
p43,6058
p10,6060
p87,6061
p69,6063
p53,6064
p54,6065
p53,6068
p109,6071
p87,6072
p87,6073
p54,6074
p20,6076
p40,6077
p131,6081
p127,6082
p131,6083
p105,6085
p46,6086
p94,6087
p30,6088
p35,6089
p43,6090
p38,6092
p115,6094
p50,6095
p41,6096
p38,6098
p9,6099
p9,6100
p23,6101
p122,6103
p122,6105
p5,6106
p127,6110
p33,6112
p107,6113
p130,6115
p126,6118
p131,6119
p1,6120
p127,6122
p94,6124
p131,6125
p96,6126
p96,6127
p61,6128
p94,6130
p90,6131
p94,6132
p94,6133
p64,6136
p107,6137
p56,6138
p57,6139
p71,6140
p55,6141
p56,6142
p54,6144
p63,6145
p63,6146
p57,6147
p111,6149
p89,6150
p92,6151
p92,6152
p72,6153
p72,6155
p132,6156
p9,6158
p34,6159
p4,6163
p25,6165
p107,6166
p99,6167
p99,6168
p79,6170
p109,6171
p17,6172
p6,6174
p2,6175
p29,6177
p65,6178
p64,6179
p63,6180
p65,6181
p65,6183
p90,6188
p94,6189
p58,6190
p48,6193
p48,6194
p55,6195
p10,6196
p1,6200
p1,6202
p24,6204
p34,6206
p34,6207
p33,6208
p3,6210
p9,6211
p9,6212
p107,6213
p70,6220
p55,6223
p107,6225
p40,6229
p46,6231
p81,6237
p81,6238
p64,6243
p101,6246
p33,6248
p96,6249
p98,6250
p65,6251
p79,6253
p70,6254
p94,6257
p94,6258
p117,6264
p2,6265
p55,6280
p103,6356
p43,6358
p16,6359
p103,6369
p41,6373
p98,6377
p131,6378
p131,6379
p131,6388
p124,6390
p123,6391
p21,6393
p21,6394
p15,6395
p15,6396
p15,6397
p15,6398
p18,6400
p31,6402
p6,6403
p26,6404
p26,6405
p2,6406
p1,6407
p21,6408
p24,6409
p65,6410
p66,6413
p63,6414
p50,6415
p63,6416
p92,6417
p92,6418
p50,6419
p6,6421
p17,6422
p1,6424
p1,6430
p1,6431
p1,6432
p3,6433
p97,6438
p89,6440
p10,6449
p129,6450
p129,6451
p127,6456
p17,6459
p58,6462
p70,6463
p36,6469
p129,6475
p10,6479
p10,6480
p25,6481
p5,6482
p129,6483
p5,6484
p127,6486
p5,6505
p14,6506
p2,6507
p2,6508
p12,6509
p12,6510
p12,6513
p12,6514
p30,6515
p34,6516
p95,6517
p9,6518
p129,6519
p129,6520
p12,6521
p126,6522
p127,6526
p127,6527
p129,6529
p12,6530
p12,6531
p12,6532
p12,6533
p25,6537
p116,6543
p116,6544
p116,6546
p5,6552
p25,6553
p69,6554
p58,6558
p117,6560
p117,6561
p117,6562
p54,6563
p123,6565
p133,6567
p128,6575
p52,6579
p101,6584
p131,6585
p131,6586
p54,6594
p66,6595
p132,6598
p9,6612
p129,6618
p34,6619
p19,6623
p40,6624
p132,6635
p115,6636
p108,6639
p85,6641
p10,6643
p10,6644
p10,6645
p10,6646
p10,6647
p63,6648
p72,6650
p72,6651
p72,6652
p70,6664
p10,6704
p107,6705
p43,6741
p33,6761
p72,6768
p50,6772
p126,6776
p96,6789
p53,6791
p108,6823
p43,6824
p52,7011
p16,7012
p53,7013
p25,7015
p53,7018
p25,7028
p63,7030
p99,7032
p25,7034
p21,7039
p56,7040
p129,7051
p129,7056
p46,7058
p45,7060
p90,7063
p9,7066
p10,7072
p16,7079
p25,7080
p13,7082
p65,7097
p26,7111
p4,7113
p74,7115
p74,7116
p74,7118
p74,7119
p95,7125
p2,7127
p122,7128
p9,7129
p48,7131
p25,7132
p85,7135
p70,7137
p126,7138
p70,7145
p128,7146
p10,7147
p9,7151
p125,7153
p45,7155
p114,7158
p79,7159
p28,7164
p85,7166
p28,7179
p9,7189
p16,7190
p94,7191
p66,7200
p76,7203
p96,7210
p99,7212
p99,7213
p9,7229
p9,7231
p9,7232
p34,7233
p38,7237
p101,7238
p101,7242
p85,7246
p38,7247
p1,7259
p9,7266
p103,7268
p79,7270
p97,7277
p112,7279
p53,7281
p85,7283
p112,7286
p126,7288
p101,7294
p55,7296
p101,7302
p71,7304
p9,7307
p128,7314
p9,7315
p21,7317
p125,7318
p67,7325
p107,7335
p105,7336
p129,7337
p9,7338
p53,7339
p45,7343
p101,7345
p94,7348
p5,7350
p75,7366
p9,7368
p9,7369
p34,7372
p34,7373
p43,7376
p43,7378
p101,7380
p129,7381
p82,7384
p84,7392
p52,7393
p64,7394
p131,7396
p120,7397
p103,7398
p103,7399
p54,7400
p71,7405
p71,7406
p25,7408
p5,7413
p68,7415
p82,7425
p2,7427
p98,7429
p5,7431
p53,7432
p10,7436
p99,7438
p99,7439
p99,7440
p99,7441
p53,7447
p9,7449
p9,7450
p9,7451
p9,7452
p14,7456
p33,7458
p40,7469
p54,7470
p80,7474
p96,7479
p96,7480
p40,7481
p9,7489
p103,7497
p131,7501
p23,7504
